time,scramble,date
00:01.718,L' F D2 U B' U' D F B' U' F2 R' L' F2 U D L F' L2 R' U' D2 U2 F D',2022-09-19 14:17:53.183761 UTC
00:03.437,U' B D F' R' L2 F' L2 F2 U2 R' F B2 D2 L' U' R L' F' U F2 D' F B2 U,2022-09-19 14:17:58.729377 UTC
00:04.434,B2 F L R' U F U2 R D2 F' U2 L' B2 U B' U2 B' L' F R2 L' U2 F2 D2 R,2022-09-19 14:18:05.256405 UTC
00:03.140,L' B' R D2 B F U D' R D2 L2 D' B R2 F' U R2 F2 D2 L D2 U2 D L' U2,2022-09-19 14:34:03.634802 UTC
00:04.598,F2 R' U' B' U2 D2 R' L' F2 R D2 R L2 B' L' B2 U2 L2 B R' D' L R' L2 B',2022-09-19 14:34:10.984358 UTC
00:02.878,U R' D F' B2 U D2 L2 U2 D' R2 L D B2 L D' B' R' D2 R' B' U' R D F2,2022-09-19 14:34:30.320674 UTC
00:08.390,U2 D F' U' D' F' U' D2 R B' L2 B' F' B L2 R' B' F R2 D' R' B U2 R U,2022-09-19 14:35:19.144373 UTC
00:00.502,F2 B F' R L2 U' R2 U B U' L F L' D' R F2 D' L2 U2 B F' U B2 L' D,2022-09-19 14:35:23.103422 UTC
00:02.996,R' U' F2 D2 U R' U' R2 U F U' R' D' L' R2 B2 R2 U2 F U2 L' U R F B',2022-09-19 14:35:39.059862 UTC
00:00.897,D' R L F2 L' U' F B' L2 U' F2 U' F' D B F R2 D U' D2 L F2 L D2 L',2022-09-19 15:07:40.506531 UTC
00:00.813,R' F2 R2 F2 B2 R F2 B R2 D B D2 U' L2 F2 L2 R2 B U2 D B2 U B U' D',2022-09-19 15:07:41.767960 UTC
00:00.706,D' R2 F R' L U' F' U F' D2 U' D2 R' D L R' B U' L R U R' L F B2,2022-09-19 15:07:42.935457 UTC
